lat,long
40.634374,-74.194385
40.628088,-74.182540
40.624212,-74.177004
40.622388,-74.174751
40.621313,-74.170374
40.617762,-74.161748
40.615140,-74.158014
40.610579,-74.151491
40.607712,-74.146169
40.607972,-74.140161
40.608103,-74.130377
40.610318,-74.118532
40.611100,-74.112867
40.610057,-74.109091
40.610318,-74.102396
40.610579,-74.095701
40.609145,-74.090895
40.606539,-74.083513
40.606017,-74.077677
40.604454,-74.071153
40.602368,-74.063944
40.601847,-74.061025
40.603672,-74.053644
