"url","date","title","director","writer","stars","running_time","genre","rating","blurb"
"https://www.nytimes.com/2018/11/15/movies/instant-family-review.html","2018/11/15","Instant Family","Sean Anders","Sean Anders, John Morris","Mark Wahlberg, Rose Byrne, Isabela Moner, Gustavo Quiroz, Julianna Gamiz","1h 59m","Comedy, Drama","PG-13","Rated PG-13."
"https://www.nytimes.com/2018/11/20/movies/roma-review.html","2018/11/20","Roma","Alfonso Cuarón","Alfonso Cuarón","Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta, Marco Graf","2h 15m","Drama","R","Rated R. In Spanish, with English subtitles."
"https://www.nytimes.com/2018/11/21/movies/the-favourite-review.html","2018/11/21","The Favourite","Yorgos Lanthimos","Deborah Davis, Tony McNamara","Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult, Emma Delves","1h 59m","Biography, Drama","R","Rated R. Naughty lords and ladies."
"https://www.nytimes.com/2018/11/22/movies/shoplifters-review.html","2018/11/22","Shoplifters","Hirokazu Koreeda","Hirokazu Koreeda","Kirin Kiki, Lily Franky, Moemi Katayama, Sôsuke Ikematsu, Sakura Andô","2h 1m","Crime, Drama","R","Rated R for sex-club work. In Japanese, with English subtitles."
"https://www.nytimes.com/2018/11/29/movies/mirai-review.html","2018/11/29","Mirai","Mamoru Hosoda","Mamoru Hosoda","Haru Kuroki, Moka Kamishiraishi, Gen Hoshino, Kôji Yakusho, Kumiko Asô","1h 38m","Animation, Adventure, Drama, Family, Fantasy","PG","Rated PG for jealous older brothers and mild ontological unease. In Japanese, with English subtitles"
"https://www.nytimes.com/2018/11/29/movies/anna-and-the-apocalypse-review.html","2018/11/29","Anna and the Apocalypse","John McPhail","Alan McDonald, Ryan McHenry","Ella Hunt, Malcolm Cumming, Sarah Swire, Christopher Leveaux, Ben Wiggins","1h 37m","Comedy, Fantasy, Horror, Musical","R","Rated R for the usual zombieland blood and guts."
"https://www.nytimes.com/2018/11/28/movies/mowgli-legend-of-the-jungle-review.html","2018/11/28","Mowgli: Legend of the Jungle","Andy Serkis","Callie Kloves","Christian Bale, Benedict Cumberbatch, Cate Blanchett, Tom Hollander, Andy Serkis","1h 44m","Adventure, Drama","PG-13","Rated PG-13 for violence, dirt, blood, death and other gritty material."
"https://www.nytimes.com/2018/11/29/movies/elliot-the-littlest-reindeer-review.html","2018/11/29","Elliot the Littlest Reindeer","Jennifer Westcott","Jennifer Westcott","Morena Baccarin, Josh Hutcherson, John Cleese, Martin Short, Christopher Jacot","1h 29m","Animation, Family","PG","Rated PG. Mendacious elves."
"https://www.nytimes.com/2018/11/29/movies/the-possession-of-hannah-grace-review.html","2018/11/29","The Possession of Hannah Grace","Diederik Van Rooijen","Brian Sieve","Shay Mitchell, Grey Damon, Kirby Johnson, Nick Thune, Louis Herthum","1h 25m","Horror, Mystery, Thriller","R","Rated R for gruesome images and undead nudity."
"https://www.nytimes.com/2018/11/29/movies/happy-as-lazzaro-review.html","2018/11/29","Happy as Lazzaro","Alice Rohrwacher","Alice Rohrwacher","Adriano Tardiolo, Agnese Graziani, Luca Chikovani, Alba Rohrwacher, Sergi López","2h 5m","Drama","PG-13","Rated PG-13. Treachery and wickedness. In Italian, with English subtitles."
