,album_title,year,rank
184,untitled unmastered.,2016,16
185,Skeleton Tree,2016,15
186,Freetown Sound,2016,14
187,Malibu,2016,13
188,"22, A Million",2016,12
189,Atrocity Exhibition,2016,11
190,A Moon Shaped Pool,2016,10
191,My Woman,2016,9
192,Hopelessness,2016,8
193,We got it from Here... Thank You 4 Your service,2016,7
194,Coloring Book,2016,6
195,The Life of Pablo,2016,5
196,Blackstar,2016,4
197,Lemonade,2016,3
198,Blonde,2016,2
199,A Seat at the Table,2016,1
200,EP/EP2,2017,50
201,Brick Body Kids Still Daydream,2017,49
202,Rocket,2017,48
203,SweetSexySavage,2017,47
204,Dust,2017,46
205,Powerplant,2017,45
206,The Kid,2017,44
207,Black Ken,2017,43
208,Infinite Worlds,2017,42
209,Okovi,2017,41
210,I See You,2017,40
211,Crack-Up,2017,39
212,More Life,2017,38
213,Not Even Happiness,2017,37
214,Fin,2017,36
215,Playboi Carti,2017,35
216,Love What Survives,2017,34
217,Kelly Lee Owens,2017,33
218,Lust for Life,2017,32
219,Harmony of Difference EP,2017,31
220,Slowdive,2017,30
221,Run the Jewels 3,2017,29
222,Ash,2017,28
223,HNDRXX,2017,27
224,Everybody Works,2017,26
225,Nothing Feels Natural,2017,25
226,Drunk,2017,24
227,Capacity,2017,23
228,Masseduction,2017,22
229,Arca,2017,21
230,Utopia,2017,20
231,Culture,2017,19
232,Turn Out the Lights,2017,18
233,Rest,2017,17
234,No Shape,2017,16
235,Process,2017,15
236,A Crow Looked at Me,2017,14
237,4:44,2017,13
238,American Dream,2017,12
239,A Deeper Understanding,2017,11
240,Black Origami,2017,10
241,Plunge,2017,9
242,Flower Boy,2017,8
243,Big Fish Theory,2017,7
244,Aromanticism,2017,6
245,Melodrama,2017,5
246,Take Me Apart,2017,4
247,The OOZ,2017,3
248,Ctrl,2017,2
249,DAMN.,2017,1
250,Gangin,2018,50
251,Overload,2018,49
252,Heaven and Earth,2018,48
253,Compro,2018,47
254,Negro Swan,2018,46
255,Wanderer,2018,45
256,How to Socialise & Make Friends,2018,44
257,The Sciences,2018,43
258,abysskiss,2018,42
259,MihTy,2018,41
260,Beyondless,2018,40
261,Hive Mind,2018,39
262,Isolation,2018,38
263,Veteran,2018,37
264,Nasty,2018,36
265,2012 - 2017,2018,35
266,Broken Politics,2018,34
267,MUDBOY,2018,33
268,I’m All Ears,2018,32
269,Tranquility Base Hotel & Casino,2018,31
270,Chris,2018,30
271,boygenius EP,2018,29
272,Ordinary Corrupt Human Love,2018,28
273,Clean,2018,27
274,FM!,2018,26
275,Die Lit,2018,25
276,Aviary,2018,24
277,Astroworld,2018,23
278,In a Poem Unlimited,2018,22
279,A Brief Inquiry Into Online Relationships,2018,21
280,7,2018,20
281,Invasion of Privacy,2018,19
282,OIL OF EVERY PEARL’s UN-INSIDES,2018,18
283,Daytona,2018,17
284,Singularity,2018,16
285,Room 25,2018,15
286,Freedom,2018,14
287,Devotion,2018,13
288,Ephorize,2018,12
289,Sweetener,2018,11
290,Safe in the Hands of Love,2018,10
291,Whack World,2018,9
292,Double Negative,2018,8
293,Some Rap Songs,2018,7
294,El Mal Querer,2018,6
295,Lush,2018,5
296,Honey,2018,4
297,Knock Knock,2018,3
298,Golden Hour,2018,2
299,Be the Cowboy,2018,1
